visual_name,property_category,property_name,property_description,property_values
actionButton,icon,iconSize,Icon size,Expected type: number
actionButton,icon,image,Color,Expected type: object
actionButton,icon,image.name,Color,Expected type: string
actionButton,icon,image.url,Color,Expected type: string
actionButton,icon,image.scaling,Color,"Normal, Fit, Fill"
actionButton,icon,leftMargin,Left margin,Expected type: integer
actionButton,icon,lineColor,Color,Expected type: color
actionButton,icon,lineTransparency,Transparency,Expected type: number
actionButton,icon,lineWeight,Weight,Expected type: integer
actionButton,icon,placement,Icon placement,"custom, left, right, above, below"
actionButton,icon,rightMargin,Right margin,Expected type: integer
actionButton,icon,shapeType,Icon,"blank, leftArrow, rightArrow, back, reset, help, information, qna, bookmarks, applyAllSlicers, clearAllSlicers, custom, spinner"
actionButton,icon,show,Show,Expected type: boolean
actionButton,icon,topMargin,Top margin,Expected type: integer
actionButton,icon,verticalAlignment,Color,"top, middle, bottom"
actionButton,outline,$id,Color,"default, hover, selected, disabled"
actionButton,outline,lineColor,Color,Expected type: color
actionButton,outline,show,Show,Expected type: boolean
actionButton,outline,transparency,Transparency,Expected type: number
actionButton,outline,weight,Outline weight,Expected type: number
actionButton,rotation,angle,Rotation,Expected type: number
actionButton,rotation,shapeAngle,Shape rotation,Expected type: integer
actionButton,rotation,textAngle,Text rotation,Expected type: integer
actionButton,shadow,$id,Color,"default, hover, selected, disabled"
actionButton,shadow,angle,Angle,Expected type: number
actionButton,shadow,color,Color,Expected type: color
actionButton,shadow,shadowBlur,Blur,Expected type: number
actionButton,shadow,shadowDistance,Distance,Expected type: number
actionButton,shadow,shadowPositionPreset,Preset,"custom, top, topLeft, topRight, center, centerLeft, centerRight, bottom, bottomLeft, bottomRight"
actionButton,shadow,show,Show,Expected type: boolean
actionButton,shadow,transparency,Transparency,Expected type: number
actionButton,shape,arrowStemWidth,Stem width,Expected type: integer
actionButton,shape,arrowheadSize,Arrowhead size,Expected type: integer
actionButton,shape,chevronAngle,Angle,Expected type: integer
actionButton,shape,hexagonSlant,Slant,Expected type: integer
actionButton,shape,isocelesTriangleTipPosition,Tip position,Expected type: integer
actionButton,shape,octagonSnipSize,Size of snips,Expected type: integer
actionButton,shape,parallelogramSlant,Slant,Expected type: integer
actionButton,shape,rectangleRoundedCurve,Rounded Corners,Expected type: integer
actionButton,shape,roundEdge,Round edges,Expected type: integer
actionButton,shape,speechBubbleHeight,Chat bubble height,Expected type: integer
actionButton,shape,speechBubbleTailAngle,Tail angle,Expected type: integer
actionButton,shape,speechBubbleTailPosition,Tail position,"bottomLeft, bottomRight, rightDown, rightUp, topRight, topLeft, leftUp, leftDown"
actionButton,shape,tabCutCornerSnipSizeBottom,Size of bottom snips,Expected type: integer
actionButton,shape,tabCutCornerSnipSizeTop,Size of top snips,Expected type: integer
actionButton,shape,tabCutCornerSnipSizeTopRight,Size of top right snip,Expected type: integer
actionButton,shape,tabRoundCornerBottom,Rounded bottom corners,Expected type: integer
actionButton,shape,tabRoundCornerTop,Rounded top corners,Expected type: integer
actionButton,shape,tabRoundCornerTopRight,Rounded top right corner,Expected type: integer
actionButton,shape,tileShape,Shape,"arrow, arrowChevron, arrowPentagon, heart, hexagon, line, octagon, oval, parallelogram, pentagon, pill, rectangle, rectangleRounded, rectangleRoundedByPixel, tabCutCorner, tabCutTopCorners, tabCutTopCornersByPixel, tabRoundCorner, tabRoundTopCorners, speechbubbleRectangle, trapezoid, triangleIsoc, triangleRight"
actionButton,shape,trapezoidSlant,Slant,Expected type: integer
actionButton,text,$id,Color,"default, hover, selected, disabled"
actionButton,text,bold,Bold,Expected type: boolean
actionButton,text,bottomMargin,Bottom margin,Expected type: integer
actionButton,text,fontColor,Color,Expected type: color
actionButton,text,fontFamily,Font family,Expected type: string
actionButton,text,fontSize,Color,Expected type: number
actionButton,text,horizontalAlignment,Color,"left, center, right"
actionButton,text,italic,Italic,Expected type: boolean
actionButton,text,leftMargin,Left margin,Expected type: integer
actionButton,text,rightMargin,Right margin,Expected type: integer
actionButton,text,show,Show,Expected type: boolean
actionButton,text,text,Text,Expected type: string
actionButton,text,topMargin,Top margin,Expected type: integer
actionButton,text,underline,Underline,Expected type: boolean
actionButton,text,verticalAlignment,Color,"top, middle, bottom"
bookmarkNavigator,background,color,Color,Expected type: color
bookmarkNavigator,background,show,Show,Expected type: boolean
bookmarkNavigator,background,transparency,Transparency,Expected type: number
bookmarkNavigator,border,color,Color,Expected type: color
bookmarkNavigator,border,radius,Radius,Expected type: number
bookmarkNavigator,border,show,Show,Expected type: boolean
bookmarkNavigator,border,width,Width,Expected type: number
bookmarkNavigator,divider,color,Color,Expected type: color
bookmarkNavigator,divider,ignorePadding,Ignore padding,Expected type: boolean
bookmarkNavigator,divider,show,Show,Expected type: boolean
bookmarkNavigator,divider,style,Line style,"solid, dashed, dotted"
bookmarkNavigator,divider,width,Width,Expected type: number
bookmarkNavigator,dropShadow,angle,Angle,Expected type: number
bookmarkNavigator,dropShadow,color,Color,Expected type: color
bookmarkNavigator,dropShadow,position,Shadow position,"Outer, Inner"
bookmarkNavigator,dropShadow,preset,Preset,"BottomRight, Bottom, BottomLeft, CenterRight, Center, CenterLeft, TopRight, Top, TopLeft, Custom"
bookmarkNavigator,dropShadow,shadowBlur,Blur,Expected type: number
bookmarkNavigator,dropShadow,shadowDistance,Distance,Expected type: number
bookmarkNavigator,dropShadow,shadowSpread,Size,Expected type: number
bookmarkNavigator,dropShadow,show,Show,Expected type: boolean
bookmarkNavigator,dropShadow,transparency,Transparency,Expected type: number
bookmarkNavigator,general,allowBinnedLineSample,High density sampling,Expected type: boolean
bookmarkNavigator,general,allowOverlappingPointsSample,High density sampling,Expected type: boolean
bookmarkNavigator,general,altText,Alt text,Expected type: string
bookmarkNavigator,general,height,Height,Expected type: number
bookmarkNavigator,general,keepLayerOrder,Maintain layer order,Expected type: boolean
bookmarkNavigator,general,width,Width,Expected type: number
bookmarkNavigator,general,x,X Position,Expected type: number
bookmarkNavigator,general,y,Y Position,Expected type: number
bookmarkNavigator,lockAspect,show,Show,Expected type: boolean
bookmarkNavigator,padding,bottom,Bottom padding,Expected type: number
bookmarkNavigator,padding,left,Left padding,Expected type: number
bookmarkNavigator,padding,right,Right padding,Expected type: number
bookmarkNavigator,padding,top,Top padding,Expected type: number
bookmarkNavigator,spacing,customizeSpacing,Customize spacing,Expected type: boolean
bookmarkNavigator,spacing,spaceBelowSubTitle,Space below subtitle,Expected type: number
bookmarkNavigator,spacing,spaceBelowTitle,Space below title,Expected type: number
bookmarkNavigator,spacing,spaceBelowTitleArea,Space below title area,Expected type: number
bookmarkNavigator,spacing,verticalSpacing,Space between label and value,Expected type: number
bookmarkNavigator,stylePreset,name,Style,Expected type: string
bookmarkNavigator,subTitle,alignment,Color,"left, center, right"
bookmarkNavigator,subTitle,bold,Bold,Expected type: boolean
bookmarkNavigator,subTitle,fontColor,Color,Expected type: color
bookmarkNavigator,subTitle,fontFamily,Font family,Expected type: string
bookmarkNavigator,subTitle,fontSize,Color,Expected type: number
bookmarkNavigator,subTitle,heading,Title heading,"Normal, Heading2, Heading3, Heading4, Heading5, Heading6"
bookmarkNavigator,subTitle,italic,Italic,Expected type: boolean
bookmarkNavigator,subTitle,show,Show,Expected type: boolean
bookmarkNavigator,subTitle,text,Title text,Expected type: string
bookmarkNavigator,subTitle,titleWrap,Word wrap,Expected type: boolean
bookmarkNavigator,subTitle,underline,Underline,Expected type: boolean
bookmarkNavigator,title,alignment,Color,"left, center, right"
bookmarkNavigator,title,background,Color,Expected type: color
bookmarkNavigator,title,bold,Bold,Expected type: boolean
bookmarkNavigator,title,fontColor,Color,Expected type: color
bookmarkNavigator,title,fontFamily,Font family,Expected type: string
bookmarkNavigator,title,fontSize,Color,Expected type: number
bookmarkNavigator,title,heading,Title heading,"Normal, Heading2, Heading3, Heading4, Heading5, Heading6"
bookmarkNavigator,title,italic,Italic,Expected type: boolean
bookmarkNavigator,title,show,Show,Expected type: boolean
bookmarkNavigator,title,text,Title text,Expected type: string
bookmarkNavigator,title,titleWrap,Word wrap,Expected type: boolean
bookmarkNavigator,title,underline,Underline,Expected type: boolean
bookmarkNavigator,visualHeader,background,Color,Expected type: color
bookmarkNavigator,visualHeader,border,Color,Expected type: color
bookmarkNavigator,visualHeader,foreground,Color,Expected type: color
bookmarkNavigator,visualHeader,show,Show,Expected type: boolean
bookmarkNavigator,visualHeader,showCommentButton,Comment button,Expected type: boolean
bookmarkNavigator,visualHeader,showCopyVisualImageButton,Copy icon,Expected type: boolean
bookmarkNavigator,visualHeader,showDrillDownExpandButton,Expand to next level icon,Expected type: boolean
bookmarkNavigator,visualHeader,showDrillDownLevelButton,Show next level icon,Expected type: boolean
bookmarkNavigator,visualHeader,showDrillRoleSelector,Drill on dropdown,Expected type: boolean
bookmarkNavigator,visualHeader,showDrillToggleButton,Drill down icon,Expected type: boolean
bookmarkNavigator,visualHeader,showDrillUpButton,Drill up icon,Expected type: boolean
bookmarkNavigator,visualHeader,showFilterRestatementButton,Filter icon,Expected type: boolean
bookmarkNavigator,visualHeader,showFocusModeButton,Focus mode icon,Expected type: boolean
bookmarkNavigator,visualHeader,showFollowVisualButton,Follow visual button,Expected type: boolean
bookmarkNavigator,visualHeader,showOptionsMenu,More options icon,Expected type: boolean
bookmarkNavigator,visualHeader,showPersonalizeVisualButton,Personalize visual,Expected type: boolean
bookmarkNavigator,visualHeader,showPinButton,Pin icon,Expected type: boolean
bookmarkNavigator,visualHeader,showSeeDataLayoutToggleButton,See data layout icon,Expected type: boolean
bookmarkNavigator,visualHeader,showSetAlertButton,Set alert button,Expected type: boolean
bookmarkNavigator,visualHeader,showSmartNarrativeButton,Smart narrative,Expected type: boolean
bookmarkNavigator,visualHeader,showTooltipButton,Visual header tooltip icon,Expected type: boolean
bookmarkNavigator,visualHeader,showVisualErrorButton,Visual error icon,Expected type: boolean
bookmarkNavigator,visualHeader,showVisualInformationButton,Visual information icon,Expected type: boolean
bookmarkNavigator,visualHeader,showVisualWarningButton,Visual warning icon,Expected type: boolean
bookmarkNavigator,visualHeader,transparency,Transparency,Expected type: number
bookmarkNavigator,visualHeaderTooltip,background,Color,Expected type: color
bookmarkNavigator,visualHeaderTooltip,bold,Bold,Expected type: boolean
bookmarkNavigator,visualHeaderTooltip,fontFamily,Font family,Expected type: string
bookmarkNavigator,visualHeaderTooltip,fontSize,Color,Expected type: number
bookmarkNavigator,visualHeaderTooltip,italic,Italic,Expected type: boolean
bookmarkNavigator,visualHeaderTooltip,section,Page,Expected type: string
bookmarkNavigator,visualHeaderTooltip,text,Tooltip text,Expected type: string
bookmarkNavigator,visualHeaderTooltip,themedBackground,Color,Expected type: color
bookmarkNavigator,visualHeaderTooltip,themedTitleFontColor,Color,Expected type: color
bookmarkNavigator,visualHeaderTooltip,titleFontColor,Color,Expected type: color
bookmarkNavigator,visualHeaderTooltip,transparency,Transparency,Expected type: number
bookmarkNavigator,visualHeaderTooltip,type,Type,"Default, Canvas"
bookmarkNavigator,visualHeaderTooltip,underline,Underline,Expected type: boolean
bookmarkNavigator,visualLink,bookmark,Bookmark,Expected type: string
bookmarkNavigator,visualLink,dataFunction,Color,Expected type: object
bookmarkNavigator,visualLink,dataFunction.byReference,Color,Expected type: object
bookmarkNavigator,visualLink,dataFunction.byReference.itemId,Color,Expected type: string
bookmarkNavigator,visualLink,dataFunction.byReference.workspaceId,Color,Expected type: string
bookmarkNavigator,visualLink,dataFunction.byReference.folderId,Color,Expected type: string
bookmarkNavigator,visualLink,disabledTooltip,Disabled tooltip,Expected type: string
bookmarkNavigator,visualLink,drillthroughSection,Destination,Expected type: string
bookmarkNavigator,visualLink,enabledTooltip,Enabled tooltip,Expected type: string
bookmarkNavigator,visualLink,navigationSection,Destination,Expected type: string
bookmarkNavigator,visualLink,show,Show,Expected type: boolean
bookmarkNavigator,visualLink,showDefaultTooltip,Show tooltips,Expected type: boolean
bookmarkNavigator,visualLink,suppressDefaultTooltip,No tooltips,Expected type: boolean
bookmarkNavigator,visualLink,tooltip,Tooltip,Expected type: string
bookmarkNavigator,visualLink,tooltipPlaceholderText,Placeholder for tooltip,Expected type: string
bookmarkNavigator,visualLink,type,Type,"Back, Bookmark, Drillthrough, PageNavigation, Qna, WebUrl, ApplyAllSlicers, ClearAllSlicers, DataFunction"
bookmarkNavigator,visualLink,webUrl,Web URL,Expected type: string
bookmarkNavigator,visualTooltip,actionFontColor,Color,Expected type: color
bookmarkNavigator,visualTooltip,background,Color,Expected type: color
bookmarkNavigator,visualTooltip,bold,Bold,Expected type: boolean
bookmarkNavigator,visualTooltip,fontFamily,Font family,Expected type: string
bookmarkNavigator,visualTooltip,fontSize,Color,Expected type: number
bookmarkNavigator,visualTooltip,italic,Italic,Expected type: boolean
bookmarkNavigator,visualTooltip,section,Page,Expected type: string
bookmarkNavigator,visualTooltip,show,Show,Expected type: boolean
bookmarkNavigator,visualTooltip,themedBackground,Color,Expected type: color
bookmarkNavigator,visualTooltip,themedTitleFontColor,Color,Expected type: color
bookmarkNavigator,visualTooltip,themedValueFontColor,Color,Expected type: color
bookmarkNavigator,visualTooltip,titleFontColor,Color,Expected type: color
bookmarkNavigator,visualTooltip,transparency,Transparency,Expected type: number
bookmarkNavigator,visualTooltip,type,Type,"Default, Canvas"
bookmarkNavigator,visualTooltip,underline,Underline,Expected type: boolean
bookmarkNavigator,visualTooltip,valueFontColor,Color,Expected type: color
bookmarkNavigator,accentBar,$id,Color,"default, hover, selected, disabled"
bookmarkNavigator,accentBar,color,Color,Expected type: color
bookmarkNavigator,accentBar,position,Position,"Left, Right, Bottom, Top"
bookmarkNavigator,accentBar,show,Show,Expected type: boolean
bookmarkNavigator,accentBar,transparency,Transparency,Expected type: number
bookmarkNavigator,accentBar,width,Width,Expected type: number
bookmarkNavigator,bookmarks,allowDeselectionBookmark,Allow deselection,Expected type: boolean
bookmarkNavigator,bookmarks,bookmarkGroup,Bookmark,Expected type: string
bookmarkNavigator,bookmarks,deselectionBookmark,Launch on deselection,Expected type: string
bookmarkNavigator,bookmarks,hideDeselectedBookmark,Hide deselection bookmark,Expected type: boolean
bookmarkNavigator,bookmarks,selectedBookmark,Color,Expected type: string
bookmarkNavigator,fill,$id,Color,"default, hover, selected, disabled"
bookmarkNavigator,fill,fillColor,Color,Expected type: color
bookmarkNavigator,fill,show,Show,Expected type: boolean
bookmarkNavigator,fill,transparency,Transparency,Expected type: number
bookmarkNavigator,glow,$id,Color,"default, hover, selected, disabled"
bookmarkNavigator,glow,color,Color,Expected type: color
bookmarkNavigator,glow,shadowBlur,Blur,Expected type: number
bookmarkNavigator,glow,show,Show,Expected type: boolean
bookmarkNavigator,glow,transparency,Transparency,Expected type: number
bookmarkNavigator,layout,cellPadding,Padding,Expected type: integer
bookmarkNavigator,layout,columnCount,Columns,Expected type: integer
bookmarkNavigator,layout,orientation,Orientation,"0, 1, 2"
bookmarkNavigator,layout,rowCount,Rows,Expected type: integer
bookmarkNavigator,outline,$id,Color,"default, hover, selected, disabled"
bookmarkNavigator,outline,lineColor,Color,Expected type: color
bookmarkNavigator,outline,show,Show,Expected type: boolean
bookmarkNavigator,outline,transparency,Transparency,Expected type: number
bookmarkNavigator,outline,weight,Outline weight,Expected type: number
bookmarkNavigator,rotation,angle,Rotation,Expected type: number
bookmarkNavigator,rotation,shapeAngle,Shape rotation,Expected type: integer
bookmarkNavigator,rotation,textAngle,Text rotation,Expected type: integer
bookmarkNavigator,shadow,$id,Color,"default, hover, selected, disabled"
bookmarkNavigator,shadow,angle,Angle,Expected type: number
bookmarkNavigator,shadow,color,Color,Expected type: color
bookmarkNavigator,shadow,shadowBlur,Blur,Expected type: number
bookmarkNavigator,shadow,shadowDistance,Distance,Expected type: number
bookmarkNavigator,shadow,shadowPositionPreset,Preset,"custom, top, topLeft, topRight, center, centerLeft, centerRight, bottom, bottomLeft, bottomRight"
bookmarkNavigator,shadow,show,Show,Expected type: boolean
bookmarkNavigator,shadow,transparency,Transparency,Expected type: number
bookmarkNavigator,shape,arrowStemWidth,Stem width,Expected type: integer
bookmarkNavigator,shape,arrowheadSize,Arrowhead size,Expected type: integer
bookmarkNavigator,shape,chevronAngle,Angle,Expected type: integer
bookmarkNavigator,shape,hexagonSlant,Slant,Expected type: integer
bookmarkNavigator,shape,isocelesTriangleTipPosition,Tip position,Expected type: integer
bookmarkNavigator,shape,octagonSnipSize,Size of snips,Expected type: integer
bookmarkNavigator,shape,parallelogramSlant,Slant,Expected type: integer
bookmarkNavigator,shape,rectangleRoundedCurve,Rounded Corners,Expected type: integer
bookmarkNavigator,shape,roundEdge,Round edges,Expected type: integer
bookmarkNavigator,shape,speechBubbleHeight,Chat bubble height,Expected type: integer
bookmarkNavigator,shape,speechBubbleTailAngle,Tail angle,Expected type: integer
bookmarkNavigator,shape,speechBubbleTailPosition,Tail position,"bottomLeft, bottomRight, rightDown, rightUp, topRight, topLeft, leftUp, leftDown"
bookmarkNavigator,shape,tabCutCornerSnipSizeBottom,Size of bottom snips,Expected type: integer
bookmarkNavigator,shape,tabCutCornerSnipSizeTop,Size of top snips,Expected type: integer
bookmarkNavigator,shape,tabCutCornerSnipSizeTopRight,Size of top right snip,Expected type: integer
bookmarkNavigator,shape,tabRoundCornerBottom,Rounded bottom corners,Expected type: integer
bookmarkNavigator,shape,tabRoundCornerTop,Rounded top corners,Expected type: integer
bookmarkNavigator,shape,tabRoundCornerTopRight,Rounded top right corner,Expected type: integer
bookmarkNavigator,shape,tileShape,Shape,"arrow, arrowChevron, arrowPentagon, heart, hexagon, line, octagon, oval, parallelogram, pentagon, pill, rectangle, rectangleRounded, rectangleRoundedByPixel, tabCutCorner, tabCutTopCorners, tabCutTopCornersByPixel, tabRoundCorner, tabRoundTopCorners, speechbubbleRectangle, trapezoid, triangleIsoc, triangleRight"
bookmarkNavigator,shape,trapezoidSlant,Slant,Expected type: integer
bookmarkNavigator,text,$id,Color,"default, hover, selected, disabled"
bookmarkNavigator,text,bold,Bold,Expected type: boolean
bookmarkNavigator,text,bottomMargin,Bottom margin,Expected type: integer
bookmarkNavigator,text,fontColor,Color,Expected type: color
bookmarkNavigator,text,fontFamily,Font family,Expected type: string
bookmarkNavigator,text,fontSize,Color,Expected type: number
bookmarkNavigator,text,horizontalAlignment,Color,"left, center, right"
bookmarkNavigator,text,italic,Italic,Expected type: boolean
bookmarkNavigator,text,leftMargin,Left margin,Expected type: integer
bookmarkNavigator,text,rightMargin,Right margin,Expected type: integer
bookmarkNavigator,text,show,Show,Expected type: boolean
bookmarkNavigator,text,topMargin,Top margin,Expected type: integer
bookmarkNavigator,text,underline,Underline,Expected type: boolean
bookmarkNavigator,text,verticalAlignment,Color,"top, middle, bottom"
image,background,color,Color,Expected type: color
image,background,show,Show,Expected type: boolean
image,background,transparency,Transparency,Expected type: number
image,border,color,Color,Expected type: color
image,border,radius,Radius,Expected type: number
image,border,show,Show,Expected type: boolean
image,border,width,Width,Expected type: number
image,divider,color,Color,Expected type: color
image,divider,ignorePadding,Ignore padding,Expected type: boolean
